	v	.	:	s	praha	(	,	)	-	na	byl	české	včera	i	o	k	se	a	zákona	do	jeho	který	od	ve	po	že	""""	aby	bude	j	z	při	ze	ale	to	pro	privatizace	podle	by	být	mezi	čsfr	jsou	budou	co	už	za	listopadu	státu	je	pouze	které	nás	u	první	musí	?	nato	před	bylo	si	však	jak	jako	&slash;	okd
ve	0.46382928825783665	0.7414928266228805	0.1918343592284407	0.23837879727375028	0.12108103175767018	0.2161829358163222	0.7635623985336164	0.19811351248624062	0.28242804925433984	0.3822633704093372	0.1319153947920747	0.12536564250350776	0.14106021466705398	0.19025714833815754	0.3204216794826152	0.18558221037682443	0.3331688009802517	0.45814242239708175	0.12953677294720248	0.20867641694232425	0.1299506954705378	0.12745729733370637	0.14831227187822707		0.164756011301592	0.22938046891408517	0.25867419819242377	0.13246492295845003	0.1316183724147906	0.11307093106807928	0.2175052703935156	0.14745394225463446	0.1403351667205351	0.1391940649312276	0.16077962296591453	0.15997751529994733	0.1131897138986088	0.13884863504839434	0.17827802826773054	0.12707590796617496	0.13403351629231192	0.1347283213073511	0.12790735943914483	0.13162140480167106	0.12045862133522467	0.12761863941454893	0.15410520551292956	0.1174251771724994	0.12036680541947661	0.19128201825632202	0.1256636370458607	0.1352683785779457	0.11920663080763136	0.1452233721947635	0.11669802374836133	0.12561782006395322	0.13205688405175336	0.12175639533204544	0.14176732991076957	0.12799582861531286	0.1277194211568285	0.12881880664344228	0.1179482083942594	0.1346843481898896	0.12446215477317543	0.1134060264647408
po	0.4500809419812478	0.7409543325294279	0.1805572095131123	0.22419368629775882	0.10888506540492297	0.20379713062196178	0.7579480077422622	0.1868919176444312	0.2644275161262487	0.36879554351177524	0.11899667679286038	0.11013165935165353	0.12950852688852427	0.1785518776520497	0.30752240110371687	0.17539407005583116	0.3264466576770802	0.45047543594173256	0.11870177171821249	0.1968826190497291	0.12108634877291378	0.10907592522882023	0.13621425841610174	0.164756011301592		0.19535622538224506	0.24233393116455626	0.11453906770500194	0.11917390066084531	0.10132463161266186	0.2065425995901937	0.13471096716247385	0.1288417104679674	0.12069362808320847	0.15035007927310962	0.1452938456176152	0.10201789683123286	0.1268963942070685	0.16887617496675678	0.11543336249989203	0.12037139298513444	0.12364376063005915	0.11597825207444573	0.1241248935395643	0.10452369602949395	0.1149689108658857	0.1425995009054628	0.1053496106104503	0.10832355119518455	0.1762557668753475	0.11458535387465016	0.11544611159405381	0.10722120420570766	0.13304289941209324	0.10534636173109743	0.11266668059788294	0.12012777668705424	0.11071692406434293	0.12979541447700788	0.1139282450767013	0.11567616693253642	0.1165263866097705	0.10690765688505739	0.12189579609962951	0.11036613737147358	0.10099150505645296
že	0.4875581398132416	0.770224283567849	0.2286894895738868	0.28397325044442334	0.15479247852914046	0.24391836026686997	0.7607334786532971	0.22551333872186818	0.32887132959201193	0.4049098056774796	0.16457510309136336	0.1562203282369049	0.17474144143372747	0.24679812027152787	0.3616856433878861	0.23683885847020925	0.3829111951715668	0.5039189757787721	0.16469434540280953	0.2620605581413098	0.16390820839672507	0.19813687084084017	0.20668122214139228	0.22938046891408517	0.19535622538224506		0.30353049135634735	0.20273151138599765	0.19153472673800073	0.1466822151969538	0.27079930248080164	0.178921542706217	0.17350179172261151	0.20987330091602086	0.19583947780499236	0.18937353902069096	0.15003522100085565	0.1953349254507419	0.24128859933427985	0.16417536795366955	0.19186798709627853	0.17130516888578062	0.16200004090158296	0.16606803300313916	0.1884263039918207	0.19006976410672016	0.21302007073881768	0.15070688000241753	0.15888419823244976	0.24841910123321	0.16246915552391467	0.20565531489966593	0.15369549470886917	0.20788700449350073	0.17950799256418548	0.18858735497371923	0.16865483801815523	0.15657607680507368	0.17601498655129283	0.18841945901218593	0.16278502299640873	0.19107666561174252	0.1828784067045196	0.19620853665650956	0.18725986783901138	0.1476802677139401
""""	0.52430591844178	0.8011083359343685	0.2661390603127982	0.3159404336240605	0.20764641486659502	0.2943096977801877	0.8068595962204453	0.284452196686824	0.35189258213079144	0.4510570982744714	0.21155562223352833	0.20361558999003376	0.22448207841789886	0.2751410231851438	0.3860569949204207	0.2613409086991622	0.40623131457319595	0.5244365116408704	0.21702179097108817	0.2854185133761383	0.21378584684913898	0.20812747340268914	0.2308195326654478	0.25867419819242377	0.24233393116455626	0.30353049135634735		0.21526138550889679	0.21339464951451964	0.20309043848559957	0.29377099723423056	0.2281470366025979	0.22296542356614407	0.22023058022377584	0.2452058533028612	0.23920257444107132	0.1987446439254138	0.22142251013430558	0.2563649033394595	0.2098172672429346	0.21735367361261795	0.21762438437074533	0.21104419694846582	0.2139381816466412	0.2053841956981058	0.21324262411750577	0.23412144945260294	0.20591772207523806	0.20670938637252664	0.2691066421840749	0.20785316108067173	0.21533621090566396	0.20544766425793376	0.22614380674844659	0.20112642527391816	0.20641151634045235	0.21449373971432	0.2101551737426554	0.2235669865276111	0.2079090496109614	0.21057321572475582	0.21124927523214201	0.20173902289489085	0.21730975330676394	0.2114987763493972	0.2021757342072501
aby	0.41613504145643293	0.7063138295106999	0.1450188823682307	0.1931986961213027	0.07153805101222876	0.17187949973091707	0.7176045166364057	0.15156194407617418	0.2370082033875349	0.3329641017305788	0.08194463670057685	0.07289237808864953	0.09322957639522149	0.14987161760006878	0.2790827621838463	0.14021844162326408	0.29597002677037143	0.42220152532768046	0.0808398098203512	0.16547329879529948	0.08056619163480287	0.09206767341766318	0.10581135964931113	0.13246492295845003	0.11453906770500194	0.20273151138599765	0.21526138550889679		0.08723404900284762	0.06323479013605093	0.17533669447906558	0.09729557541739736	0.09123772024717247	0.10079135351842453	0.11144487373899808	0.11033029702351513	0.06615253778175481	0.09410515662864653	0.14054999332347906	0.07838132240760849	0.0894639857112997	0.0899214862097986	0.08174957195301596	0.08403934806542077	0.08268454959923699	0.08635086984332316	0.11144618458729366	0.0681165407223912	0.07251894136883871	0.15178929308507866	0.07746645206236537	0.10223400160865842	0.06982080993457272	0.10705896392963507	0.07299172061388817	0.08224527258591392	0.0830757365947707	0.07484082397321164	0.09202895893139629	0.08270175936638222	0.0784368856695324	0.08457656669875113	0.0773144761807375	0.09218941106604125	0.08254776017332843	0.06420478557541266
bude	0.4182926245813092	0.713442353092793	0.14777620161317695	0.19225201386377505	0.07331626451018952	0.17205266980605444	0.7279660417397842	0.15385615172087275	0.2340593424778159	0.3388165229996656	0.08372203668290122	0.07458478234771737	0.09825137926966161	0.1473556288763715	0.2771177540846695	0.14045838331686972	0.29722038509241316	0.4205653935174279	0.08269600551236113	0.1649677881501615	0.08244277797614889	0.0831423672120285	0.10178641388494826	0.1316183724147906	0.11917390066084531	0.19153472673800073	0.21339464951451964	0.08723404900284762		0.06499351526579149	0.17090890368956024	0.09926071120097858	0.09313191196304066	0.0931639138839736	0.11827168937571789	0.1109862564540402	0.0664744453497646	0.09407803994160537	0.14086064904470388	0.08083733209040722	0.0853396402109558	0.08946515762327857	0.08070361196448655	0.08526635607630995	0.07478583433588368	0.08114377093067346	0.1099943195993689	0.07071551332549589	0.07436021637081125	0.14513875818651384	0.07913849927167678	0.0904987171211592	0.0725061396648054	0.09861114314432502	0.06933739480750281	0.08202746402873615	0.0874101998454834	0.07392518866775627	0.09661807552699458	0.07881421302227537	0.08083796942877909	0.08480962255016589	0.07068737738368777	0.08818661188699314	0.07695219298546563	0.06647086118056508
j	0.40766549685650344	0.6948043582554734	0.13076896880881775	0.18341070625690203	0.056779329122567085	0.15594482423572442	0.7141933944711452	0.14468184571074694	0.21792272843079666	0.3253587408162615	0.06679548152686084	0.05756185272778909	0.07768377552763463	0.13348546635128355	0.2595535829062397	0.12329971425435166	0.2813823932830184	0.4075005832383368	0.07343926020874617	0.14626980142289334	0.06795278555076448	0.057380786043149834	0.08547759022184928	0.11307093106807928	0.10132463161266186	0.1466822151969538	0.20309043848559957	0.06323479013605093	0.06499351526579149		0.15803162430379195	0.08356204226862504	0.07739785892986484	0.06814219435055699	0.1012315171216579	0.09505899267855358	0.05531860396323329	0.07515233812364354	0.11757172506206487	0.06323216723389247	0.06843659943747196	0.07774621205757624	0.06377705680844617	0.07234941113260654	0.05251006893276061	0.06303411731822324	0.09022838559315183	0.059823873793188306	0.06160992282096194	0.1265908057373537	0.06153333441516203	0.06406178051728686	0.05964851084963772	0.08150559283048898	0.05238351736686665	0.059362968896232604	0.06792658142105469	0.05704377750571902	0.07749204847716007	0.06135843845283685	0.06310636030867198	0.0632558656309695	0.05259128681903241	0.06986909029671132	0.06349219523694227	0.053997601328108935
z	0.4931405719981886	0.7791765124105555	0.23444123809418632	0.2794006227478808	0.16304762483019955	0.2541491861587275	0.7938536991581248	0.2382724059948596	0.31441257215337526	0.41798891948674544	0.17274584415866817	0.16514129575006198	0.18201038210958131	0.22823722729147033	0.35281806878263966	0.22345594520303347	0.3683842781387791	0.49109330267818674	0.171149804044194	0.24691556547331717	0.1717032880376776	0.16806073535614355	0.1892058186757541	0.2175052703935156	0.2065425995901937	0.27079930248080164	0.29377099723423056	0.17533669447906558	0.17090890368956024	0.15803162430379195		0.18752392032954918	0.18196065540011558	0.18038684599982024	0.19827711481946936	0.20193225379068952	0.15643660875339369	0.18276740939478947	0.2179398007543233	0.17038947569514915	0.1755932045055487	0.1772134781927781	0.1697274194402535	0.17335345517189288	0.16184432077019537	0.16929472897070502	0.1955318646725718	0.1598414836390667	0.1633737886892198	0.2312383025391488	0.16884136043522868	0.17779230277880426	0.16051334020139318	0.19548078123016127	0.15929231053762716	0.16675757471737382	0.17387694405286203	0.16478830039024828	0.1827518940843394	0.16975020858968345	0.1697771549789495	0.17081437885333048	0.1602434461723727	0.17616101459300126	0.16588415545905089	0.1555240912712375
při	0.4372944817935623	0.7227188687529978	0.164117231880141	0.21057418494363983	0.0911971197040172	0.18823820579907943	0.7447452929123383	0.17074076555281079	0.252681026527151	0.3530427781344946	0.10160370539236531	0.09255144678043799	0.11143013481369496	0.16441651552475237	0.2921222851354134	0.15741654550488596	0.31284216348571214	0.4353333916788721	0.10161244255869802	0.178605802259994	0.10188845477845263	0.09194273102600647	0.11928361671571278	0.14745394225463446	0.13471096716247385	0.178921542706217	0.2281470366025979	0.09729557541739736	0.09926071120097858	0.08356204226862504	0.18752392032954918		0.11151336611116328	0.10241423160769203	0.13381619958885516	0.12843427740814883	0.08356624710310118	0.10841580745073276	0.15105687538629634	0.09804039109939694	0.10277766419624021	0.10860718966848175	0.10037470941741133	0.1024434434354009	0.08676000298743523	0.09737518207699145	0.12443364983459049	0.08777560941417967	0.090743338623969	0.159389496171332	0.09634155828066651	0.09847390360218317	0.08973613951696105	0.11599132572717975	0.08678650431753816	0.09435256294888149	0.10273480528655918	0.09176674161324427	0.11168802762318475	0.09634803250548575	0.09809595436132088	0.09797882973849473	0.08691844620953523	0.10459205440423658	0.09313045936739847	0.08305316633341722
ze	0.43099170634318584	0.718690090992149	0.1583952508052704	0.20467391898397447	0.08501682923577916	0.18269727262458257	0.7388003768940251	0.16521637989859744	0.24448195487319885	0.34980312839011857	0.09542289399412106	0.08631509920132037	0.1056445929264109	0.160497653223196	0.28666598580960895	0.15040873414179146	0.30628592902400326	0.42955927803696303	0.09552051465377322	0.17302634471746842	0.09582408092044478	0.08583794302917433	0.11331157229746439	0.1403351667205351	0.1288417104679674	0.17350179172261151	0.22296542356614407	0.09123772024717247	0.09313191196304066	0.07739785892986484	0.18196065540011558	0.11151336611116328		0.09614559158969838	0.12816649628212304	0.12253800658430247	0.07732989952398356	0.10472297818363073	0.14529116239746384	0.0918595797011527	0.09662357825829254	0.10090496889954878	0.09390868059396347	0.0979163299609934	0.08059358969859834	0.09122109613904379	0.1184400796070667	0.08167858202234862	0.08450699104485138	0.15635185161594262	0.0918018130426497	0.0924156806731031	0.08352809468992066	0.1099101961151622	0.08060788813070649	0.08811621536976387	0.09655399388831493	0.08561217222333432	0.10558365931411662	0.09011168492636813	0.09185960678220324	0.09157404408010232	0.08076591010009951	0.09843748501432663	0.08700166012946056	0.0769034158427285
